"The Atlanta Blockchain","The-Atlanta-Blockchain","33.93","-84.39","Michael Tidwell"
"Node.js OC","Node-JS-OC","33.68","-117.83","Farsheed Atef"
"Portland JavaScript Admirers","Portland-JavaScript-Admirers","45.52","-122.69","Jim Kogler"
"PDXnode","pdxnode","45.53","-122.68","Milan Loveless"
"node.jSTL","node-jSTL","38.63","-90.21","Keith Chester"
"NebraskaJS","nebraskajs","41.26","-95.93","Zach Leatherman"
"QueensJS","QueensJS","40.76","-73.93","Daniel Cousineau"
"All Things Web Tech","All-Things-Web-Tech","41.85","-87.67","brian rodriguez"
"Node.js Club SF","Node-js-Serverside-Javascripters-Club-SF","37.78","-122.42","Matt Pardee"
"Franklin Developer Lunch & Learn","franklin-developer-lunch","35.92","-86.89","Chris Roberts"
"Dallas AngularJS SuperHeros","DallasAngularJS","32.96","-96.83","Richard Lemieux"
"NodeMN","NodeMN","45","-93.25","Mike Frey"
"BellevueJS","BellevueJS","47.62","-122.21","Sam Eubank"
"SoCal Angular","socal-angular","34.06","-118.24","Rit Li"
"React Native Los Angeles","React-Native-Los-Angeles","34.03","-118.28","Christopher Dro"
"Ember ATX","Ember-ATX","30.29","-97.73","Robert DeLuca"
"Santa Cruz JavaScript","santacruzjs","36.99","-122.06","Anthony Ettinger"
"CodeSLO","codeslo","35.26","-120.65","Matt West"
"South Bay JavaScript Meetup","southbayjs","37.39","-122.07","Lewis Ellis"
"East Bay JavaScript Meetup Group","EBJavaScript","37.83","-122.26","Dan McAulay"
"BayNode - The Bay Area Node.js Meetup","BayNode","37.38","-122.08","Adam Crabtree"
"Angular Portland Meetup","ngpdxers","45.5","-122.69","Ryan Webber"
"Central WI Developers Group","Central-WI-Developers-Group","44.54","-89.56","Tim Hess"
"SeattleJS Hackers","seattlejshackers","47.61","-122.33","Sam Eubank"
"Triangle Distributed Architecture","TRIDIS","36","-78.9","Steven Suing"
"CodeCraft School & Web Development Community","CodeCraftSchool","40.05","-105.21","CodeCraft School of Technology"
"Free Code Camp - Boulder Study Group","freeCodeCamp-Boulder","40.04","-105.31","Steve Witman"
"NodeAZ","NodeAZ","33.37","-111.93","Chris Matthieu"
"NodeSchool KC","nodeschool-kansas-city","39.01","-94.6","Caleb"
"Wilmington Web Devs","Wilmington-DE-Web-Dev-Meetup","39.74","-75.55","Matt Eckman"
"Boston FreeCodeCampers","Boston-FreeCodeCampers","42.35","-71.06","Beth Tenorio"
"LittleBits, Nodebots, JavaScript, Python, IoT, and More!","amRobotics","33.08","-96.8","Ron Dagdag"
"freeCodeCamp Ann Arbor","Free-Code-Camp-Ann-Arbor","42.27","-83.81","Joel Bentley"
"Daplie Labs / Provo","DaplieLabs","40.22","-111.69","Alvin Alexander Jr O'Neal"
"Saint Louis ReactJS Meetup","Saint-Louis-ReactJS-Meetup","38.63","-90.19","Matt Follett"
"Dallas.node","DallasNode","32.93","-96.79","Adam Crabtree"
"Code Career Academy Meetups - Gwinnett","Code-Career-Academy-Meetups-Gwinnett","34.01","-84","codecareeracademy"
"Fort Collins Coders","Fort-Collins-Coders","40.58","-105.11","Patrick Steele-Idem"
"Suncoast.js","suncoast-js","27.79","-82.73","Julián Duque"
"#FrontEndParty","FrontEndParty","29.96","-90.08","Joe Ellis"
"WebApp Builders - WEEKLY - Fullstack Projects (LA Eastside)","WebApp-Builders","34.15","-118.27","Kobi"
"LA Software Craftsmanship","LA-Software-Craftsmanship","34.02","-118.5","Dave Moore"
"Bots","bots-sf","37.77","-122.41","Dan Gailey"
"ReactLA User Group","ReactLA-User-Group","34.02","-118.5","jon lau"
"Santa Barbara JavaScript","sbjavascript","34.42","-119.71","Tim Doherty"
"Nodeschool Portland Maine","nodeschool-portland-me","43.66","-70.26","Carlo DiCelico"
"The Sacramento JavaScript Meetup","The-Sacramento-Javascript-Meetup","38.58","-121.51","Derek Lindahl"
"GDG Space Coast - Google Developers Group","GDGSpaceCoast","28.07","-80.63","Michael Prentice"
"Real Estate Developer Meetup Group","Real-Estate-Developer-Meetup-Group","37.77","-122.41","Jay Lee"
"Real World React","Real-World-React","37.77","-122.41","Benjamin Dunphy"
"Modern Web","modernweb","37.44","-122.15","Tracy"
"Women Who Code Portland","Women-Who-Code-Portland","45.52","-122.69","Women Who Code"
"Chicago  Node.js","Chicago-Nodejs","41.88","-87.64","Mike Hostetler"
"JavaScript MN","JavaScriptMN","44.98","-93.26","Kevin Whinnery"
"Phoenix JavaScript","Phoenix-JavaScript","33.38","-112.03","Brad Westfall"
"node.dc","node-dc","38.92","-77.04","Andrew Dunkman"
"Seattle Software Craftsmanship Community","seattle-software-craftsmanship","47.6","-122.33","Michael Ibarra"
"RVA.js","rva-js","37.56","-77.49","Gaelen Kash"
"Uber Engineering Events","UberEvents","37.79","-122.4","Conor L. Myhrvold"
"Learn to Code New York","Learn-to-Code-New-York","40.81","-73.95","Jared Polivka"
"Front End Orlando","Front-End-Orlando","28.54","-81.37","Drew Powers"
"DC Hack and Tell","DC-Hack-and-Tell","38.91","-77.02","Travis Hoppe"
"Free Code Camp Portland","Free-Code-Camp-Portland","45.5","-122.69","Nathan Rodman"
"React JAX","React-JAX","30.33","-81.77","Ben Bobish"
"js.la - Los Angeles JavaScript and Node.js","Los-Angeles-JavaScript-and-Node-js","34.04","-118.25","David Guttman"
"JavaScript and the Internet of Things Meetup","JavaScript-and-the-Internet-of-Things","45.55","-122.64","Andrew Chalkley"
"Norfolk.js","NorfolkJS","36.85","-76.29","Travis Webb"
"JSLou - Louisville's JavaScript Group","JSLouKY","38.25","-85.76","Eric Lathrop"
"Long Island JavaScript Group","long-island-javascript-group","40.87","-73.41","Justin Wilkerson"
"Hack Reactor Los Angeles","hackreactorla","33.97","-118.24","Victoria"
"Gainesville JS","gainesvillejs","29.6","-82.4","Aaron Dixon"
"Hill Country JavaScript","San-Antonio-JavaScript-User-Group","29.42","-98.49","Kevin Lamping"
"Portland Javascript Magic Night","Portland-Javascript-Magic-Night","45.5","-122.69","Matt Clark"
"Tri-Valley/East Bay Free Code Camp Study Group","trivalleycoders","37.67","-121.89","Karl"
"API Discovery","apidiscovery","37.79","-122.4","Marc Cuva"
"coloradoSprings.js (JavaScript User Group)","coloradospringsjs","38.83","-104.82","Jerad Bitner"
"Mandeville - Web Development Meetup","Mandeville-Web-Development-Meetup","30.42","-90.01","Chris Fontan"
